seed,winner,turns,rounds,temperature,ph,current_era,consumed_climate_cards,remaining_climate_cards,board_occupancy,p1_score,p2_score,p1_efficiency,p2_efficiency,p1_dead_turns,p2_dead_turns,terminal
1045,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,12,14,0.8,0.9333333333333333,6,6,True
1046,,27,14,29.5,7.8500000000000005,2,13,17,0.1875,15,15,0.8333333333333334,1.0,8,9,True
1047,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,15,0.7058823529411765,1.0,5,6,True
1048,2.0,27,14,29.5,7.85,2,13,17,0.1875,13,16,0.7647058823529411,1.0666666666666667,8,9,True
1049,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,11,14,0.7333333333333333,0.9333333333333333,6,6,True
1050,1.0,33,17,29.5,7.85,2,16,14,0.1875,17,16,0.9444444444444444,1.0666666666666667,11,12,True
1051,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,11,16,0.7857142857142857,1.0666666666666667,6,6,True
1052,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,10,14,0.7142857142857143,0.9333333333333333,6,6,True
1053,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,14,0.7,0.9333333333333333,4,6,True
1054,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,14,0.7,0.9333333333333333,4,6,True
1055,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,16,0.7777777777777778,1.0666666666666667,4,6,True
1056,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,11,15,0.6470588235294118,1.0,5,6,True
1057,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,14,0.8666666666666667,0.9333333333333333,6,6,True
1058,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,14,0.7368421052631579,0.9333333333333333,4,6,True
1059,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,16,0.8125,1.0666666666666667,5,6,True
1060,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,11,14,0.7857142857142857,0.9333333333333333,6,6,True
1061,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,16,0.7647058823529411,1.0666666666666667,5,6,True
1062,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,16,0.8235294117647058,1.0666666666666667,5,6,True
1063,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,14,15,0.875,1.0,6,6,True
1064,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,16,0.7647058823529411,1.0666666666666667,5,6,True
1065,1.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,13,0.7368421052631579,0.8666666666666667,4,6,True
1066,,21,11,28.0,8.200000000000001,1,10,20,0.1875,16,16,0.8421052631578947,1.0666666666666667,5,6,True
1067,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,11,14,0.6470588235294118,0.9333333333333333,5,6,True
1068,1.0,35,18,32.5,7.55,3,17,13,0.1875,15,14,0.8333333333333334,0.9333333333333333,12,13,True
1069,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,14,0.6666666666666666,0.9333333333333333,5,6,True
